Name,Lifespan,Nationality,Field,Description
Heloísa Alberto Torres,1895–1977,Brazilian,"Anthropologist, Museum Director",Pioneered Brazilian anthropology and directed the National Museum of Brazil.
Katharine Bartlett,1907–2001,American,"Physical Anthropologist, Museum Curator",Curated significant anthropological collections at the Museum of Northern Arizona.
Ruth Benedict,1887–1948,American,Anthropologist,Authored influential works on cultural patterns and national character studies.
Anna Bērzkalne,1891–1956,Latvian,"Folklorist, Ethnographer",Documented and preserved Latvian folklore and ethnographic traditions.
Alicia Dussán de Reichel,1920–2023,Colombian,Anthropologist,Conducted extensive fieldwork on Colombian indigenous cultures.
Dina Dahbany-Miraglia,born 1938,American Yemini,"Linguistic Anthropologist, Educator",Specialized in Yemeni linguistic anthropology and education.
Bertha P. Dutton,1903–1994,American,"Anthropologist, Ethnologist",Studied Native American cultures and contributed to ethnological research.
Phebe Fjellström,1924–2007,Swedish,Ethnologist,Researched the Sami people and their cultural practices.
Helen Groger-Wurm,1921–2005,Austrian-born Australian,Ethnologist,Focused on the ethnology of Australian indigenous communities.
Zora Neale Hurston,1891–1960,American,"Folklorist, Anthropologist",Collected and published African American folklore and cultural stories.
Nadine Ivanitzky,1874–1919,Ukrainian (Soviet),"Sociologist, Cultural Anthropologist",Studied cultural anthropology and sociology in the Soviet Union.
Marjorie F. Lambert,1908–2006,American,"Archeologist, Anthropologist",Investigated Southwestern Puebloan peoples and their history.
Dorothea Leighton,1908–1989,American,"Social Psychiatrist, Medical Anthropologist",Founded the field of medical anthropology.
Katharine Luomala,1907–1992,American,Anthropologist,Conducted research on Pacific Island cultures and folklore.
Margaret McArthur,1919–2002,Australian,"Anthropologist, Nutritionist, Educator",Studied Aboriginal nutrition and food practices.
Margaret Mead,1901–1978,American,Anthropologist,Famous for her studies on adolescence and sexuality in Samoan culture.
Grete Mostny,1914–1991,Austrian-born Chilean,"Anthropologist, Archaeologist",Conducted archaeological research in Chile and directed the National Museum of Natural History.
Miriam Tildesley,1883–1979,British,Anthropologist,Known for her work in physical anthropology and human measurement.
Mildred Trotter,1899–1991,American,Forensic Anthropologist,Pioneered forensic anthropology techniques for identifying human remains.
Camilla Wedgwood,1901–1955,British/Australian,Anthropologist,Conducted fieldwork in the Pacific Islands and contributed to social anthropology.
Alba Zaluar,1942–2019,Brazilian,Urban Anthropologist,Specialized in urban anthropology and violence in Brazilian favelas.
Archaeology,,,,
Name,Lifespan,Nationality,Field,Description
Sonia Alconini,born 1965,Bolivian,Archaeologist,Studied the Formative Period of the Lake Titicaca basin.
Niède Guidon,born 1933,Brazilian,Archaeologist,Known for her work at the Serra da Capivara National Park.
Birgit Arrhenius,born 1932,Swedish,Archaeologist,Specialized in prehistoric archaeology and ancient technology.
Dorothea Bate,1878–1951,British,"Archaeologist, Archaeozoologist",Pioneered the field of archaeozoology.
Alex Bayliss,-,British,Archaeologist,Expert in radiocarbon dating and Bayesian chronological modeling.
Crystal Bennett,1918–1987,British,Archaeologist,Focused on archaeological research in Jordan.
Zeineb Benzina,-,Tunisian,Archaeologist,Contributed to the study of Tunisian archaeology.
Jole Bovio Marconi,1897–1986,Italian,"Archaeologist, Prehistorian",Specialized in prehistoric archaeology in Italy.
Juliet Clutton-Brock,1933–2015,British,Zooarchaeologist,Studied the domestication of animals.
Dorothy Charlesworth,1927–1981,British,Archaeologist,Expert on Roman glass.
Lily Chitty,1893–1979,British,Archaeologist,Specialized in the prehistoric history of Wales and the west of England.
Mary Kitson Clark,1905–2005,British,Archaeologist,Known for her work on Roman-British archaeology.
